gp_idx,reward_type,final_position,total_time,points,changed_compound
0,mix,6,5755.590144844459,8,True
0,mix,5,5742.845604940939,10,True
0,mix,4,5724.590091519663,12,True
0,mix,7,5687.694662789241,6,True
0,mix,1,5703.346512133658,25,True
0,mix,12,5727.581148151973,0,True
0,mix,19,5800.2494838386765,0,True
0,mix,12,5771.022462127438,0,True
0,mix,11,5670.551427471733,0,True
0,mix,6,5655.0002988669185,8,True
0,mix,4,5670.970602133676,12,True
0,mix,10,5897.045557066909,1,True
0,mix,6,5746.218945384598,8,True
0,mix,10,5714.494091051333,1,True
0,mix,2,5749.425542101499,18,True
0,mix,9,5795.0946011736205,2,True
0,mix,10,5720.819738796705,1,True
0,mix,2,5734.817314531494,18,True
0,mix,11,5716.764132519132,0,True
0,mix,6,5786.349808863584,8,True
0,mix,3,5627.550327792163,15,True
0,mix,12,5813.483741089676,0,True
0,mix,7,5684.701118061859,6,True
0,mix,2,5649.65009152704,18,True
0,mix,7,5860.469016608406,6,True
0,mix,3,5778.949589546746,15,True
0,mix,5,5692.6612959832855,10,True
0,mix,13,5762.2810947318085,0,True
0,mix,11,5829.286066850445,0,True
0,mix,2,5609.465800587131,18,True
0,mix,6,5652.0787603268645,8,True
0,mix,7,5895.1878424305105,6,True
0,mix,10,5697.8219380654855,1,True
0,mix,8,5783.612408622193,4,True
0,mix,7,5659.719824797883,6,True
0,mix,5,5612.668431938163,10,True
0,mix,3,5602.649817615955,15,True
0,mix,7,5670.921552535597,6,True
0,mix,6,5662.615743572057,8,True
0,mix,13,5842.283696715915,0,True
0,mix,11,5728.4257821552865,0,True
0,mix,9,5732.756034225472,2,True
0,mix,6,5655.206118564942,8,True
0,mix,13,5906.29914431313,0,True
0,mix,3,5659.6031449103675,15,True
0,mix,1,5710.872239940725,25,True
0,mix,15,5952.092744890668,0,True
0,mix,17,5864.100063586776,0,True
0,mix,9,5693.070885045515,2,True
0,mix,3,5646.536029003043,15,True
0,mix,6,5776.251585923191,8,True
0,mix,5,5643.562957145372,10,True
0,mix,5,5646.083565234549,10,True
0,mix,10,5694.995230606928,1,True
0,mix,5,5649.2461995422145,10,True
0,mix,6,5673.522998422674,8,True
0,mix,6,5793.675359052943,8,True
0,mix,5,5643.316225162251,10,True
0,mix,6,5686.663375000606,8,True
0,mix,3,5739.464212541035,15,True
0,mix,15,5735.5973861365765,0,True
0,mix,13,5852.9009659454305,0,True
0,mix,7,5690.795427156815,6,True
0,mix,9,5710.313560434708,2,True
0,mix,10,5740.7334724173015,1,True
0,mix,6,5701.825174132177,8,True
0,mix,5,5655.452433511942,10,True
0,mix,3,5596.567259851162,15,True
0,mix,8,5869.02389831739,4,True
0,mix,11,5702.974204777075,0,True
0,mix,6,5673.1259443045865,8,True
0,mix,12,5731.105375001785,0,True
0,mix,7,5912.957854624552,6,True
0,mix,5,5668.562225044299,10,True
0,mix,5,5622.36976092978,10,True
0,mix,3,5632.864278887615,15,True
0,mix,5,5681.502959077091,10,True
0,mix,5,5666.740514787098,10,True
0,mix,12,5802.572841165727,0,True
0,mix,11,5788.008029453475,0,True
0,mix,4,5652.587739930746,12,True
0,mix,3,5617.539930015772,15,True
0,mix,4,5681.052417814097,12,True
0,mix,1,5599.423509832847,25,True
0,mix,6,5687.588594146491,8,True
0,mix,7,5777.641137243946,6,True
0,mix,2,5704.318560550436,18,True
0,mix,5,5747.152218679526,10,True
0,mix,5,5759.761300768951,10,True
0,mix,6,5651.07183945443,8,True
0,mix,3,5687.065317697381,15,True
0,mix,5,5687.18403145624,10,True
0,mix,5,5658.871505683778,10,True
0,mix,5,5671.496698501423,10,True
0,mix,13,5923.945168335529,0,True
0,mix,4,5653.617253699577,12,True
0,mix,9,5717.283915178923,2,True
0,mix,3,5626.652276622772,15,True
0,mix,1,5671.147706080871,25,True
0,mix,4,5647.286587945495,12,True
0,mix,11,5691.955403797015,0,True
0,mix,3,5718.162571587289,15,True
0,mix,2,5741.200490225766,18,True
